"","Entrez","Pathway","SYMBOL"
"mmu04621 NOD-like receptor signaling pathway90","18796","NOD-like receptor signaling pathway","Plcb2"
"mmu04621 NOD-like receptor signaling pathway91","18797","NOD-like receptor signaling pathway","Plcb3"
"mmu04621 NOD-like receptor signaling pathway92","18798","NOD-like receptor signaling pathway","Plcb4"
"mmu04621 NOD-like receptor signaling pathway93","19094","NOD-like receptor signaling pathway","Mapk11"
"mmu04621 NOD-like receptor signaling pathway94","19200","NOD-like receptor signaling pathway","Pstpip1"
"mmu04621 NOD-like receptor signaling pathway95","192656","NOD-like receptor signaling pathway","Ripk2"
"mmu04621 NOD-like receptor signaling pathway96","195046","NOD-like receptor signaling pathway","Nlrp1a"
"mmu04621 NOD-like receptor signaling pathway97","19697","NOD-like receptor signaling pathway","Rela"
"mmu04621 NOD-like receptor signaling pathway98","19766","NOD-like receptor signaling pathway","Ripk1"
"mmu04621 NOD-like receptor signaling pathway99","20293","NOD-like receptor signaling pathway","Ccl12"
"mmu04621 NOD-like receptor signaling pathway100","20296","NOD-like receptor signaling pathway","Ccl2"
"mmu04621 NOD-like receptor signaling pathway101","20304","NOD-like receptor signaling pathway","Ccl5"
"mmu04621 NOD-like receptor signaling pathway102","20310","NOD-like receptor signaling pathway","Cxcl2"
"mmu04621 NOD-like receptor signaling pathway103","20846","NOD-like receptor signaling pathway","Stat1"
"mmu04621 NOD-like receptor signaling pathway104","20847","NOD-like receptor signaling pathway","Stat2"
"mmu04621 NOD-like receptor signaling pathway105","210198","NOD-like receptor signaling pathway","Gprc6a"
"mmu04621 NOD-like receptor signaling pathway106","210766","NOD-like receptor signaling pathway","Brcc3"
"mmu04621 NOD-like receptor signaling pathway107","21353","NOD-like receptor signaling pathway","Tank"
"mmu04621 NOD-like receptor signaling pathway108","215999","NOD-like receptor signaling pathway","Mcu"
"mmu04621 NOD-like receptor signaling pathway109","216799","NOD-like receptor signaling pathway","Nlrp3"
"mmu04621 NOD-like receptor signaling pathway110","216877","NOD-like receptor signaling pathway","Dhx33"
"mmu04621 NOD-like receptor signaling pathway111","21898","NOD-like receptor signaling pathway","Tlr4"
"mmu04621 NOD-like receptor signaling pathway112","21926","NOD-like receptor signaling pathway","Tnf"
"mmu04621 NOD-like receptor signaling pathway113","21929","NOD-like receptor signaling pathway","Tnfaip3"
"mmu04621 NOD-like receptor signaling pathway114","22030","NOD-like receptor signaling pathway","Traf2"
"mmu04621 NOD-like receptor signaling pathway115","22031","NOD-like receptor signaling pathway","Traf3"
"mmu04621 NOD-like receptor signaling pathway116","22033","NOD-like receptor signaling pathway","Traf5"
"mmu04621 NOD-like receptor signaling pathway117","22034","NOD-like receptor signaling pathway","Traf6"
"mmu04621 NOD-like receptor signaling pathway118","22051","NOD-like receptor signaling pathway","Trip6"
"mmu04621 NOD-like receptor signaling pathway119","22166","NOD-like receptor signaling pathway","Txn1"
"mmu04621 NOD-like receptor signaling pathway120","22333","NOD-like receptor signaling pathway","Vdac1"
"mmu04621 NOD-like receptor signaling pathway121","22334","NOD-like receptor signaling pathway","Vdac2"
"mmu04621 NOD-like receptor signaling pathway122","22335","NOD-like receptor signaling pathway","Vdac3"
"mmu04621 NOD-like receptor signaling pathway123","22368","NOD-like receptor signaling pathway","Trpv2"
"mmu04621 NOD-like receptor signaling pathway124","22627","NOD-like receptor signaling pathway","Ywhae"
"mmu04621 NOD-like receptor signaling pathway125","226691","NOD-like receptor signaling pathway","Ifi207"
"mmu04621 NOD-like receptor signaling pathway126","228607","NOD-like receptor signaling pathway","Mavs"
"mmu04621 NOD-like receptor signaling pathway127","229898","NOD-like receptor signaling pathway","Gbp5"
"mmu04621 NOD-like receptor signaling pathway128","229900","NOD-like receptor signaling pathway","Gbp7"
"mmu04621 NOD-like receptor signaling pathway129","230396","NOD-like receptor signaling pathway","Ifna13"
"mmu04621 NOD-like receptor signaling pathway130","230398","NOD-like receptor signaling pathway","Ifna16"
"mmu04621 NOD-like receptor signaling pathway131","23855","NOD-like receptor signaling pathway","Defa17"
"mmu04621 NOD-like receptor signaling pathway132","239319","NOD-like receptor signaling pathway","Card6"
"mmu04621 NOD-like receptor signaling pathway133","23960","NOD-like receptor signaling pathway","Oas1g"
"mmu04621 NOD-like receptor signaling pathway134","23961","NOD-like receptor signaling pathway","Oas1b"
"mmu04621 NOD-like receptor signaling pathway135","24014","NOD-like receptor signaling pathway","Rnasel"
"mmu04621 NOD-like receptor signaling pathway136","24105","NOD-like receptor signaling pathway","Rbck1"
"mmu04621 NOD-like receptor signaling pathway137","242517","NOD-like receptor signaling pathway","Ifna15"
"mmu04621 NOD-like receptor signaling pathway138","242519","NOD-like receptor signaling pathway","Ifna12"
"mmu04621 NOD-like receptor signaling pathway139","244332","NOD-like receptor signaling pathway","Defb14"
"mmu04621 NOD-like receptor signaling pathway140","246727","NOD-like receptor signaling pathway","Oas3"
"mmu04621 NOD-like receptor signaling pathway141","246728","NOD-like receptor signaling pathway","Oas2"
"mmu04621 NOD-like receptor signaling pathway142","246730","NOD-like receptor signaling pathway","Oas1a"
"mmu04621 NOD-like receptor signaling pathway143","257632","NOD-like receptor signaling pathway","Nod2"
"mmu04621 NOD-like receptor signaling pathway144","26409","NOD-like receptor signaling pathway","Map3k7"
"mmu04621 NOD-like receptor signaling pathway145","26413","NOD-like receptor signaling pathway","Mapk1"
"mmu04621 NOD-like receptor signaling pathway146","26414","NOD-like receptor signaling pathway","Mapk10"
"mmu04621 NOD-like receptor signaling pathway147","26415","NOD-like receptor signaling pathway","Mapk13"
"mmu04621 NOD-like receptor signaling pathway148","26416","NOD-like receptor signaling pathway","Mapk14"
"mmu04621 NOD-like receptor signaling pathway149","26417","NOD-like receptor signaling pathway","Mapk3"
"mmu04621 NOD-like receptor signaling pathway150","26419","NOD-like receptor signaling pathway","Mapk8"
"mmu04621 NOD-like receptor signaling pathway151","26420","NOD-like receptor signaling pathway","Mapk9"
"mmu04621 NOD-like receptor signaling pathway152","266632","NOD-like receptor signaling pathway","Irak4"
"mmu04621 NOD-like receptor signaling pathway153","268749","NOD-like receptor signaling pathway","Rnf31"
"mmu04621 NOD-like receptor signaling pathway154","268973","NOD-like receptor signaling pathway","Nlrc4"
"mmu04621 NOD-like receptor signaling pathway155","270151","NOD-like receptor signaling pathway","Nlrx1"
"mmu04621 NOD-like receptor signaling pathway156","27223","NOD-like receptor signaling pathway","Trp53bp1"
"mmu04621 NOD-like receptor signaling pathway157","28240","NOD-like receptor signaling pathway","Trpm2"
"mmu04621 NOD-like receptor signaling pathway158","29857","NOD-like receptor signaling pathway","Mapk12"
"mmu04621 NOD-like receptor signaling pathway159","320795","NOD-like receptor signaling pathway","Pkn1"
"mmu04621 NOD-like receptor signaling pathway160","330122","NOD-like receptor signaling pathway","Cxcl3"
"mmu04621 NOD-like receptor signaling pathway161","332579","NOD-like receptor signaling pathway","Card9"
"mmu04621 NOD-like receptor signaling pathway162","368203","NOD-like receptor signaling pathway","Gm5136"
"mmu04621 NOD-like receptor signaling pathway163","378425","NOD-like receptor signaling pathway","Nlrp12"
"mmu04621 NOD-like receptor signaling pathway164","382000","NOD-like receptor signaling pathway","Defa39"
"mmu04621 NOD-like receptor signaling pathway165","382059","NOD-like receptor signaling pathway","Defa22"
"mmu04621 NOD-like receptor signaling pathway166","383619","NOD-like receptor signaling pathway","Aim2"
"mmu04621 NOD-like receptor signaling pathway167","404549","NOD-like receptor signaling pathway","Ifna14"
"mmu04621 NOD-like receptor signaling pathway168","497114","NOD-like receptor signaling pathway","Defa23"
"mmu04621 NOD-like receptor signaling pathway169","503491","NOD-like receptor signaling pathway","Defa24"
"mmu04621 NOD-like receptor signaling pathway170","53880","NOD-like receptor signaling pathway","Naip7"
"mmu04621 NOD-like receptor signaling pathway171","54123","NOD-like receptor signaling pathway","Irf7"
"mmu04621 NOD-like receptor signaling pathway172","54131","NOD-like receptor signaling pathway","Irf3"
"mmu04621 NOD-like receptor signaling pathway173","54483","NOD-like receptor signaling pathway","Mefv"
"mmu04621 NOD-like receptor signaling pathway174","54721","NOD-like receptor signaling pathway","Tyk2"
"mmu04621 NOD-like receptor signaling pathway175","55932","NOD-like receptor signaling pathway","Gbp3"
"mmu04621 NOD-like receptor signaling pathway176","55991","NOD-like receptor signaling pathway","Panx1"
"mmu04621 NOD-like receptor signaling pathway177","56338","NOD-like receptor signaling pathway","Txnip"
"mmu04621 NOD-like receptor signaling pathway178","56480","NOD-like receptor signaling pathway","Tbk1"
"mmu04621 NOD-like receptor signaling pathway179","56486","NOD-like receptor signaling pathway","Gabarap"
"mmu04621 NOD-like receptor signaling pathway180","56489","NOD-like receptor signaling pathway","Ikbke"
"mmu04621 NOD-like receptor signaling pathway181","56519","NOD-like receptor signaling pathway","Defb4"
"mmu04621 NOD-like receptor signaling pathway182","56532","NOD-like receptor signaling pathway","Ripk3"
"mmu04621 NOD-like receptor signaling pathway183","56551","NOD-like receptor signaling pathway","Txn2"
"mmu04621 NOD-like receptor signaling pathway184","57436","NOD-like receptor signaling pathway","Gabarapl1"
"mmu04621 NOD-like receptor signaling pathway185","58800","NOD-like receptor signaling pathway","Trpm7"
"mmu04621 NOD-like receptor signaling pathway186","59027","NOD-like receptor signaling pathway","Nampt"
"mmu04621 NOD-like receptor signaling pathway187","59079","NOD-like receptor signaling pathway","Erbin"
"mmu04621 NOD-like receptor signaling pathway188","59125","NOD-like receptor signaling pathway","Nek7"
"mmu04621 NOD-like receptor signaling pathway189","626682","NOD-like receptor signaling pathway","Defa28"
"mmu04621 NOD-like receptor signaling pathway190","626708","NOD-like receptor signaling pathway","Defa26"
"mmu04621 NOD-like receptor signaling pathway191","634825","NOD-like receptor signaling pathway","Defa38"
"mmu04621 NOD-like receptor signaling pathway192","637515","NOD-like receptor signaling pathway","Nlrp1b"
"mmu04621 NOD-like receptor signaling pathway193","66298","NOD-like receptor signaling pathway","Defa21"
"mmu04621 NOD-like receptor signaling pathway194","66513","NOD-like receptor signaling pathway","Tab1"
"mmu04621 NOD-like receptor signaling pathway195","665927","NOD-like receptor signaling pathway","Defa42"
"mmu04621 NOD-like receptor signaling pathway196","665956","NOD-like receptor signaling pathway","Defa43"
"mmu04621 NOD-like receptor signaling pathway197","66724","NOD-like receptor signaling pathway","Tab3"
"mmu04621 NOD-like receptor signaling pathway198","66824","NOD-like receptor signaling pathway","Pycard"
"mmu04621 NOD-like receptor signaling pathway199","67414","NOD-like receptor signaling pathway","Mfn1"
"mmu04621 NOD-like receptor signaling pathway200","67526","NOD-like receptor signaling pathway","Atg12"
"mmu04621 NOD-like receptor signaling pathway201","67653","NOD-like receptor signaling pathway","4930544G11Rik"
"mmu04621 NOD-like receptor signaling pathway202","67955","NOD-like receptor signaling pathway","Sugt1"
"mmu04621 NOD-like receptor signaling pathway203","68009","NOD-like receptor signaling pathway","Defa20"
"mmu04621 NOD-like receptor signaling pathway204","68652","NOD-like receptor signaling pathway","Tab2"
"mmu04621 NOD-like receptor signaling pathway205","69146","NOD-like receptor signaling pathway","Gsdmd"
"mmu04621 NOD-like receptor signaling pathway206","69538","NOD-like receptor signaling pathway","Antxr1"
"mmu04621 NOD-like receptor signaling pathway207","71914","NOD-like receptor signaling pathway","Antxr2"
"mmu04621 NOD-like receptor signaling pathway208","72512","NOD-like receptor signaling pathway","Sting1"
"mmu04621 NOD-like receptor signaling pathway209","74006","NOD-like receptor signaling pathway","Dnm1l"
"mmu04621 NOD-like receptor signaling pathway210","77040","NOD-like receptor signaling pathway","Atg16l1"
"mmu04621 NOD-like receptor signaling pathway211","93739","NOD-like receptor signaling pathway","Gabarapl2"
"mmu04622 RIG-I-like receptor signaling pathway1","100038882","RIG-I-like receptor signaling pathway","Isg15"
"mmu04622 RIG-I-like receptor signaling pathway2","110957","RIG-I-like receptor signaling pathway","D1Pas1"
"mmu04622 RIG-I-like receptor signaling pathway3","11793","RIG-I-like receptor signaling pathway","Atg5"
"mmu04622 RIG-I-like receptor signaling pathway4","12370","RIG-I-like receptor signaling pathway","Casp8"
"mmu04622 RIG-I-like receptor signaling pathway5","12675","RIG-I-like receptor signaling pathway","Chuk"
"mmu04622 RIG-I-like receptor signaling pathway6","13205","RIG-I-like receptor signaling pathway","Ddx3x"
"mmu04622 RIG-I-like receptor signaling pathway7","14082","RIG-I-like receptor signaling pathway","Fadd"
"mmu04622 RIG-I-like receptor signaling pathway8","15945","RIG-I-like receptor signaling pathway","Cxcl10"
"mmu04622 RIG-I-like receptor signaling pathway9","15962","RIG-I-like receptor signaling pathway","Ifna1"
"mmu04622 RIG-I-like receptor signaling pathway10","15964","RIG-I-like receptor signaling pathway","Ifna11"
"mmu04622 RIG-I-like receptor signaling pathway11","15965","RIG-I-like receptor signaling pathway","Ifna2"
"mmu04622 RIG-I-like receptor signaling pathway12","15967","RIG-I-like receptor signaling pathway","Ifna4"
"mmu04622 RIG-I-like receptor signaling pathway13","15968","RIG-I-like receptor signaling pathway","Ifna5"
"mmu04622 RIG-I-like receptor signaling pathway14","15969","RIG-I-like receptor signaling pathway","Ifna6"
"mmu04622 RIG-I-like receptor signaling pathway15","15970","RIG-I-like receptor signaling pathway","Ifna7"
"mmu04622 RIG-I-like receptor signaling pathway16","15972","RIG-I-like receptor signaling pathway","Ifna9"
"mmu04622 RIG-I-like receptor signaling pathway17","15974","RIG-I-like receptor signaling pathway","Ifnab"
"mmu04622 RIG-I-like receptor signaling pathway18","15977","RIG-I-like receptor signaling pathway","Ifnb1"
"mmu04622 RIG-I-like receptor signaling pathway19","16150","RIG-I-like receptor signaling pathway","Ikbkb"
"mmu04622 RIG-I-like receptor signaling pathway20","16151","RIG-I-like receptor signaling pathway","Ikbkg"
"mmu04622 RIG-I-like receptor signaling pathway21","16159","RIG-I-like receptor signaling pathway","Il12a"
"mmu04622 RIG-I-like receptor signaling pathway22","16160","RIG-I-like receptor signaling pathway","Il12b"
"mmu04622 RIG-I-like receptor signaling pathway23","18033","RIG-I-like receptor signaling pathway","Nfkb1"
"mmu04622 RIG-I-like receptor signaling pathway24","18035","RIG-I-like receptor signaling pathway","Nfkbia"
"mmu04622 RIG-I-like receptor signaling pathway25","18036","RIG-I-like receptor signaling pathway","Nfkbib"
"mmu04622 RIG-I-like receptor signaling pathway26","19094","RIG-I-like receptor signaling pathway","Mapk11"
"mmu04622 RIG-I-like receptor signaling pathway27","19697","RIG-I-like receptor signaling pathway","Rela"
"mmu04622 RIG-I-like receptor signaling pathway28","19766","RIG-I-like receptor signaling pathway","Ripk1"
"mmu04622 RIG-I-like receptor signaling pathway29","21353","RIG-I-like receptor signaling pathway","Tank"
"mmu04622 RIG-I-like receptor signaling pathway30","217069","RIG-I-like receptor signaling pathway","Trim25"
"mmu04622 RIG-I-like receptor signaling pathway31","21926","RIG-I-like receptor signaling pathway","Tnf"
"mmu04622 RIG-I-like receptor signaling pathway32","22030","RIG-I-like receptor signaling pathway","Traf2"
"mmu04622 RIG-I-like receptor signaling pathway33","22031","RIG-I-like receptor signaling pathway","Traf3"
"mmu04622 RIG-I-like receptor signaling pathway34","22034","RIG-I-like receptor signaling pathway","Traf6"
"mmu04622 RIG-I-like receptor signaling pathway35","225913","RIG-I-like receptor signaling pathway","Tkfc"
"mmu04622 RIG-I-like receptor signaling pathway36","228607","RIG-I-like receptor signaling pathway","Mavs"
"mmu04622 RIG-I-like receptor signaling pathway37","230073","RIG-I-like receptor signaling pathway","Ddx58"
"mmu04622 RIG-I-like receptor signaling pathway38","230396","RIG-I-like receptor signaling pathway","Ifna13"
"mmu04622 RIG-I-like receptor signaling pathway39","230398","RIG-I-like receptor signaling pathway","Ifna16"
"mmu04622 RIG-I-like receptor signaling pathway40","230405","RIG-I-like receptor signaling pathway","Ifne"
"mmu04622 RIG-I-like receptor signaling pathway41","23988","RIG-I-like receptor signaling pathway","Pin1"
"mmu04622 RIG-I-like receptor signaling pathway42","241593","RIG-I-like receptor signaling pathway","Pin1rt1"
"mmu04622 RIG-I-like receptor signaling pathway43","242517","RIG-I-like receptor signaling pathway","Ifna15"
"mmu04622 RIG-I-like receptor signaling pathway44","242519","RIG-I-like receptor signaling pathway","Ifna12"
"mmu04622 RIG-I-like receptor signaling pathway45","26401","RIG-I-like receptor signaling pathway","Map3k1"
"mmu04622 RIG-I-like receptor signaling pathway46","26409","RIG-I-like receptor signaling pathway","Map3k7"
"mmu04622 RIG-I-like receptor signaling pathway47","26414","RIG-I-like receptor signaling pathway","Mapk10"
"mmu04622 RIG-I-like receptor signaling pathway48","26415","RIG-I-like receptor signaling pathway","Mapk13"
"mmu04622 RIG-I-like receptor signaling pathway49","26416","RIG-I-like receptor signaling pathway","Mapk14"
"mmu04622 RIG-I-like receptor signaling pathway50","26419","RIG-I-like receptor signaling pathway","Mapk8"
"mmu04622 RIG-I-like receptor signaling pathway51","26420","RIG-I-like receptor signaling pathway","Mapk9"
"mmu04622 RIG-I-like receptor signaling pathway52","270151","RIG-I-like receptor signaling pathway","Nlrx1"
"mmu04622 RIG-I-like receptor signaling pathway53","27215","RIG-I-like receptor signaling pathway","Azi2"
"mmu04622 RIG-I-like receptor signaling pathway54","29857","RIG-I-like receptor signaling pathway","Mapk12"
"mmu04622 RIG-I-like receptor signaling pathway55","387510","RIG-I-like receptor signaling pathway","Ifnk"
"mmu04622 RIG-I-like receptor signaling pathway56","404549","RIG-I-like receptor signaling pathway","Ifna14"
"mmu04622 RIG-I-like receptor signaling pathway57","54123","RIG-I-like receptor signaling pathway","Irf7"
"mmu04622 RIG-I-like receptor signaling pathway58","54131","RIG-I-like receptor signaling pathway","Irf3"
"mmu04622 RIG-I-like receptor signaling pathway59","54644","RIG-I-like receptor signaling pathway","Otud5"
"mmu04622 RIG-I-like receptor signaling pathway60","56480","RIG-I-like receptor signaling pathway","Tbk1"
"mmu04622 RIG-I-like receptor signaling pathway61","56489","RIG-I-like receptor signaling pathway","Ikbke"
"mmu04622 RIG-I-like receptor signaling pathway62","66641","RIG-I-like receptor signaling pathway","Sike1"
"mmu04622 RIG-I-like receptor signaling pathway63","67526","RIG-I-like receptor signaling pathway","Atg12"
"mmu04622 RIG-I-like receptor signaling pathway64","67664","RIG-I-like receptor signaling pathway","Rnf125"
"mmu04622 RIG-I-like receptor signaling pathway65","71586","RIG-I-like receptor signaling pathway","Ifih1"
"mmu04622 RIG-I-like receptor signaling pathway66","71609","RIG-I-like receptor signaling pathway","Tradd"
"mmu04622 RIG-I-like receptor signaling pathway67","72512","RIG-I-like receptor signaling pathway","Sting1"
"mmu04622 RIG-I-like receptor signaling pathway68","73174","RIG-I-like receptor signaling pathway","Tbkbp1"
"mmu04622 RIG-I-like receptor signaling pathway69","74256","RIG-I-like receptor signaling pathway","Cyld"
"mmu04622 RIG-I-like receptor signaling pathway70","80861","RIG-I-like receptor signaling pathway","Dhx58"
"mmu04623 Cytosolic DNA-sensing pathway1","12362","Cytosolic DNA-sensing pathway","Casp1"
"mmu04623 Cytosolic DNA-sensing pathway2","12675","Cytosolic DNA-sensing pathway","Chuk"
"mmu04623 Cytosolic DNA-sensing pathway3","15945","Cytosolic DNA-sensing pathway","Cxcl10"
"mmu04623 Cytosolic DNA-sensing pathway4","15962","Cytosolic DNA-sensing pathway","Ifna1"
"mmu04623 Cytosolic DNA-sensing pathway5","15964","Cytosolic DNA-sensing pathway","Ifna11"
"mmu04623 Cytosolic DNA-sensing pathway6","15965","Cytosolic DNA-sensing pathway","Ifna2"
"mmu04623 Cytosolic DNA-sensing pathway7","15967","Cytosolic DNA-sensing pathway","Ifna4"
"mmu04623 Cytosolic DNA-sensing pathway8","15968","Cytosolic DNA-sensing pathway","Ifna5"
"mmu04623 Cytosolic DNA-sensing pathway9","15969","Cytosolic DNA-sensing pathway","Ifna6"
"mmu04623 Cytosolic DNA-sensing pathway10","15970","Cytosolic DNA-sensing pathway","Ifna7"
"mmu04623 Cytosolic DNA-sensing pathway11","15972","Cytosolic DNA-sensing pathway","Ifna9"
"mmu04623 Cytosolic DNA-sensing pathway12","15974","Cytosolic DNA-sensing pathway","Ifnab"
"mmu04623 Cytosolic DNA-sensing pathway13","15977","Cytosolic DNA-sensing pathway","Ifnb1"
"mmu04623 Cytosolic DNA-sensing pathway14","16150","Cytosolic DNA-sensing pathway","Ikbkb"
"mmu04623 Cytosolic DNA-sensing pathway15","16151","Cytosolic DNA-sensing pathway","Ikbkg"
"mmu04623 Cytosolic DNA-sensing pathway16","16173","Cytosolic DNA-sensing pathway","Il18"
"mmu04623 Cytosolic DNA-sensing pathway17","16176","Cytosolic DNA-sensing pathway","Il1b"
"mmu04623 Cytosolic DNA-sensing pathway18","16193","Cytosolic DNA-sensing pathway","Il6"
"mmu04623 Cytosolic DNA-sensing pathway19","17749","Cytosolic DNA-sensing pathway","Polr2k"
"mmu04623 Cytosolic DNA-sensing pathway20","18033","Cytosolic DNA-sensing pathway","Nfkb1"
"mmu04623 Cytosolic DNA-sensing pathway21","18035","Cytosolic DNA-sensing pathway","Nfkbia"
"mmu04623 Cytosolic DNA-sensing pathway22","18036","Cytosolic DNA-sensing pathway","Nfkbib"
"mmu04623 Cytosolic DNA-sensing pathway23","19697","Cytosolic DNA-sensing pathway","Rela"
"mmu04623 Cytosolic DNA-sensing pathway24","19766","Cytosolic DNA-sensing pathway","Ripk1"
"mmu04623 Cytosolic DNA-sensing pathway25","20016","Cytosolic DNA-sensing pathway","Polr1c"
"mmu04623 Cytosolic DNA-sensing pathway26","20018","Cytosolic DNA-sensing pathway","Polr1d"
"mmu04623 Cytosolic DNA-sensing pathway27","20303","Cytosolic DNA-sensing pathway","Ccl4"
"mmu04623 Cytosolic DNA-sensing pathway28","20304","Cytosolic DNA-sensing pathway","Ccl5"
"mmu04623 Cytosolic DNA-sensing pathway29","214763","Cytosolic DNA-sensing pathway","Cgas"
"mmu04623 Cytosolic DNA-sensing pathway30","218832","Cytosolic DNA-sensing pathway","Polr3a"
"mmu04623 Cytosolic DNA-sensing pathway31","22040","Cytosolic DNA-sensing pathway","Trex1"
"mmu04623 Cytosolic DNA-sensing pathway32","228607","Cytosolic DNA-sensing pathway","Mavs"
"mmu04623 Cytosolic DNA-sensing pathway33","230073","Cytosolic DNA-sensing pathway","Ddx58"
"mmu04623 Cytosolic DNA-sensing pathway34","230396","Cytosolic DNA-sensing pathway","Ifna13"
"mmu04623 Cytosolic DNA-sensing pathway35","230398","Cytosolic DNA-sensing pathway","Ifna16"
"mmu04623 Cytosolic DNA-sensing pathway36","242517","Cytosolic DNA-sensing pathway","Ifna15"
"mmu04623 Cytosolic DNA-sensing pathway37","242519","Cytosolic DNA-sensing pathway","Ifna12"
"mmu04623 Cytosolic DNA-sensing pathway38","245841","Cytosolic DNA-sensing pathway","Polr2h"
"mmu04623 Cytosolic DNA-sensing pathway39","26388","Cytosolic DNA-sensing pathway","Ifi202b"
"mmu04623 Cytosolic DNA-sensing pathway40","26939","Cytosolic DNA-sensing pathway","Polr3e"
"mmu04623 Cytosolic DNA-sensing pathway41","383619","Cytosolic DNA-sensing pathway","Aim2"
"mmu04623 Cytosolic DNA-sensing pathway42","404549","Cytosolic DNA-sensing pathway","Ifna14"
"mmu04623 Cytosolic DNA-sensing pathway43","54123","Cytosolic DNA-sensing pathway","Irf7"
"mmu04623 Cytosolic DNA-sensing pathway44","54131","Cytosolic DNA-sensing pathway","Irf3"
"mmu04623 Cytosolic DNA-sensing pathway45","56417","Cytosolic DNA-sensing pathway","Adar"
"mmu04623 Cytosolic DNA-sensing pathway46","56480","Cytosolic DNA-sensing pathway","Tbk1"
"mmu04623 Cytosolic DNA-sensing pathway47","56489","Cytosolic DNA-sensing pathway","Ikbke"
"mmu04623 Cytosolic DNA-sensing pathway48","56532","Cytosolic DNA-sensing pathway","Ripk3"
"mmu04623 Cytosolic DNA-sensing pathway49","58203","Cytosolic DNA-sensing pathway","Zbp1"
"mmu04623 Cytosolic DNA-sensing pathway50","66420","Cytosolic DNA-sensing pathway","Polr2e"
"mmu04623 Cytosolic DNA-sensing pathway51","66491","Cytosolic DNA-sensing pathway","Polr2l"
"mmu04623 Cytosolic DNA-sensing pathway52","66824","Cytosolic DNA-sensing pathway","Pycard"
"mmu04623 Cytosolic DNA-sensing pathway53","67005","Cytosolic DNA-sensing pathway","Polr3k"
"mmu04623 Cytosolic DNA-sensing pathway54","67065","Cytosolic DNA-sensing pathway","Polr3d"
"mmu04623 Cytosolic DNA-sensing pathway55","67486","Cytosolic DNA-sensing pathway","Polr3g"
"mmu04623 Cytosolic DNA-sensing pathway56","69833","Cytosolic DNA-sensing pathway","Polr2f"
"mmu04623 Cytosolic DNA-sensing pathway57","69870","Cytosolic DNA-sensing pathway","Polr3gl"
"mmu04623 Cytosolic DNA-sensing pathway58","70408","Cytosolic DNA-sensing pathway","Polr3f"
"mmu04623 Cytosolic DNA-sensing pathway59","70428","Cytosolic DNA-sensing pathway","Polr3b"
"mmu04623 Cytosolic DNA-sensing pathway60","72512","Cytosolic DNA-sensing pathway","Sting1"
"mmu04623 Cytosolic DNA-sensing pathway61","74414","Cytosolic DNA-sensing pathway","Polr3c"
"mmu04623 Cytosolic DNA-sensing pathway62","77125","Cytosolic DNA-sensing pathway","Il33"
"mmu04623 Cytosolic DNA-sensing pathway63","78929","Cytosolic DNA-sensing pathway","Polr3h"
"mmu04625 C-type lectin receptor signaling pathway1","110157","C-type lectin receptor signaling pathway","Raf1"
"mmu04625 C-type lectin receptor signaling pathway2","11651","C-type lectin receptor signaling pathway","Akt1"
"mmu04625 C-type lectin receptor signaling pathway3","11652","C-type lectin receptor signaling pathway","Akt2"
"mmu04625 C-type lectin receptor signaling pathway4","11848","C-type lectin receptor signaling pathway","Rhoa"
"mmu04625 C-type lectin receptor signaling pathway5","12042","C-type lectin receptor signaling pathway","Bcl10"
"mmu04625 C-type lectin receptor signaling pathway6","12051","C-type lectin receptor signaling pathway","Bcl3"
"mmu04625 C-type lectin receptor signaling pathway7","12313","C-type lectin receptor signaling pathway","Calm1"
"mmu04625 C-type lectin receptor signaling pathway8","12314","C-type lectin receptor signaling pathway","Calm2"
"mmu04625 C-type lectin receptor signaling pathway9","12315","C-type lectin receptor signaling pathway","Calm3"
"mmu04625 C-type lectin receptor signaling pathway10","12362","C-type lectin receptor signaling pathway","Casp1"
"mmu04625 C-type lectin receptor signaling pathway11","12370","C-type lectin receptor signaling pathway","Casp8"
"mmu04625 C-type lectin receptor signaling pathway12","12675","C-type lectin receptor signaling pathway","Chuk"
"mmu04625 C-type lectin receptor signaling pathway13","12795","C-type lectin receptor signaling pathway","Plk3"
"mmu04625 C-type lectin receptor signaling pathway14","13654","C-type lectin receptor signaling pathway","Egr2"
"mmu04625 C-type lectin receptor signaling pathway15","13655","C-type lectin receptor signaling pathway","Egr3"
"mmu04625 C-type lectin receptor signaling pathway16","14127","C-type lectin receptor signaling pathway","Fcer1g"
"mmu04625 C-type lectin receptor signaling pathway17","15461","C-type lectin receptor signaling pathway","Hras"
"mmu04625 C-type lectin receptor signaling pathway18","16150","C-type lectin receptor signaling pathway","Ikbkb"
"mmu04625 C-type lectin receptor signaling pathway19","16151","C-type lectin receptor signaling pathway","Ikbkg"
"mmu04625 C-type lectin receptor signaling pathway20","16153","C-type lectin receptor signaling pathway","Il10"
"mmu04625 C-type lectin receptor signaling pathway21","16159","C-type lectin receptor signaling pathway","Il12a"
"mmu04625 C-type lectin receptor signaling pathway22","16160","C-type lectin receptor signaling pathway","Il12b"
"mmu04625 C-type lectin receptor signaling pathway23","16176","C-type lectin receptor signaling pathway","Il1b"
"mmu04625 C-type lectin receptor signaling pathway24","16183","C-type lectin receptor signaling pathway","Il2"
"mmu04625 C-type lectin receptor signaling pathway25","16193","C-type lectin receptor signaling pathway","Il6"
